"RG","TG","COEF","RE"
"FGB","DVL2","0.270538930504627","1.02725036661686"
"KNDC1","DVL2","0.612867802144903","3.44853721163754"
"MYEOV","DVL2","0.297692999235367","2.8085590450086"
"AGR3","DVL2","0.627198762339151","5.73620203483605"
"FAM166C","DVL2","0.634335579883216","2.95351882716137"
"AC020659.1","DVL2","0.661018635778858","3.99285806341526"
"IGDCC3","DVL2","0.617272071745046","3.74136275018424"
"UGT8","DVL2","0.589297793257849","4.93937157644695"
"GRIK1-AS1","DVL2","0.668977063327422","4.28445658424566"
"LEP","DVL2","-0.339765495729424","4.26927161135472"
"PDZK1","DVL2","0.595807918093028","5.04108806598518"
"PHYHD1","DVL2","0.73577663104605","7.67305621462929"
"NRIP3","DVL2","0.694914013443488","6.04858221863689"
"DMRTA1","DVL2","-0.287895930324391","2.00988218699821"
"KLHDC7A","DVL2","0.536761815828567","4.70289386370412"
"ALOX15B","DVL2","0.545597306014452","5.15207255794206"
"NLRP8","DVL2","0.633530978095444","2.09474711654896"
"OR7E22P","DVL2","0.579049345847891","2.78361403125641"
"TH","DVL2","0.288946759369236","0.606575851339493"
"TPRXL","DVL2","0.6767795173238","2.94119826179583"
"OXTR","DVL2","0.59347851030441","7.48593825629593"
"MUC16","DVL2","0.545744863101937","5.01640815628159"
"C6orf223","DVL2","0.308205939917017","1.03574159599354"
"SYNM","DVL2","0.460286749007786","6.64488777283514"
"C17orf77","DVL2","0.318595089588553","0.74831484757946"
"MAGEB17","DVL2","0.485349322019302","1.44001620073092"
"TFDP3","DVL2","0.605561666534609","2.39653928369394"
"FAM3B","DVL2","0.758067842265246","6.75195053116381"
"KCNH8","DVL2","0.657495141174433","4.59643857523658"
"NELL2","DVL2","0.588213401795058","4.76669148718441"
"NPY2R","DVL2","0.54701040989229","4.39993483062628"
"MFSD6L","DVL2","0.732879826229054","4.19389892940656"
"SFTPA2","DVL2","0.362167398295563","1.44922504681333"
"C12orf56","DVL2","0.272948686684766","0.504482227329246"
"NAT8L","DVL2","-0.356675826092079","4.04221419221296"
"KRT5","DVL2","0.58669358056021","8.54459628521924"
"SERPINA11","DVL2","0.614355372840066","4.20312989984579"
"AMTN","DVL2","0.32918252914834","0.581246993055769"
"NWD1","DVL2","0.694622641792254","4.60603800538109"
"NCCRP1","DVL2","0.48587475241906","3.28333349355093"
"INSYN2A","DVL2","0.521217901678322","2.66603376347875"
"C9orf152","DVL2","0.687004975844892","6.284703662162"
"IL1RAPL2","DVL2","0.615380764953966","3.22988935378161"
"DPY19L2P1","DVL2","0.343893979708746","0.740504436371157"
"PTPRT","DVL2","0.769553446209191","8.05263420406262"
"MYBPC1","DVL2","0.487175839638061","4.8663233047851"
"CCDC196","DVL2","0.266925816977921","0.724385945584901"
"ELOVL2","DVL2","0.583866535284352","5.33246535851592"
"CAPN8","DVL2","0.701207214769105","6.51745461208983"
"LDLRAD1","DVL2","0.544361676896966","1.90233058282558"
"AARD","DVL2","0.634530330904394","5.58398965910203"
"MT1A","DVL2","-0.323900063240254","2.0763839510113"
"IGKC","DVL2","0.634824523750288","9.82948848201941"
"IGKV5-2","DVL2","0.5769633427969","3.00389976942696"
"IGLV4-69","DVL2","0.587999577712357","4.68344355524867"
"IGLV10-54","DVL2","0.448162000655424","2.87206005135939"
"IGLV1-51","DVL2","0.559788737438485","2.32077269285832"
"IGLV2-18","DVL2","0.563030403845119","3.83206623260723"
"IGHV3-7","DVL2","0.662093814255603","6.30936779130155"
"IGHV3-15","DVL2","0.632191122112182","5.92968306372798"
"IGHV4-28","DVL2","0.629425098447479","3.71349669946393"
"IGHV3-49","DVL2","0.617491944191571","4.98533098988085"
"IGHV4-61","DVL2","0.547259923518103","3.20113715203717"
"IGHV3-66","DVL2","0.651116205718299","3.67377837346086"
"MMP23A","DVL2","0.352761902489914","0.998727728866676"
"AL512378.1","DVL2","0.638622289143764","2.86800198291661"
"RAB6C","DVL2","0.612990797752289","3.60994779526439"
"LINC01124","DVL2","0.299051513070618","1.42346639269084"
"IGHV3-64","DVL2","0.549001949092423","2.70685042301087"
"AC044784.1","DVL2","0.438459878006967","0.806599773809184"
"IGKV3D-15","DVL2","0.607902908684546","3.25674019993241"
"IGKV1D-27","DVL2","0.493936317715944","1.56628213991728"
"IGHV3-74","DVL2","0.640939551547524","5.86291774776405"
"AL133387.1","DVL2","0.598596582553703","1.08797203933711"
"LINC01671","DVL2","0.663910776003608","3.45923484049118"
"AL136366.1","DVL2","0.537273015571922","3.0081224597408"
"IGHV3-72","DVL2","0.607116762672378","4.54372688942618"
"LINC01806","DVL2","0.439238581332425","2.41039920575564"
"HSD11B1-AS1","DVL2","-0.442441029264426","3.25806806150914"
"OR2S1P","DVL2","0.312938613225236","1.79652626490759"
"IGHV4-31","DVL2","0.567368153752003","3.91554576232683"
"LINC01198","DVL2","0.553455351296427","2.88659206421147"
"ZBED9","DVL2","0.720144730581385","5.57152409439721"
"IGHV3-43","DVL2","0.624311099887736","3.74876414820057"
"CYP2T1P","DVL2","0.274721397378226","2.39764607914247"
"AL356311.1","DVL2","0.262095683526305","0.615843423196612"
"AC005064.1","DVL2","0.652105631519766","2.97024582410425"
"DPY19L2P4","DVL2","0.435715012545223","2.06154561030349"
"SYN3-AS1","DVL2","0.330280405955845","1.2337731561077"
"SULT1C2P1","DVL2","0.304170710094534","1.21961268980465"
"KCNMB2-AS1","DVL2","0.288670270993684","0.772227358830213"
"SLC25A24P2","DVL2","0.352005286047337","0.273511664206157"
"IGKV2D-30","DVL2","0.568205527040535","2.19476399965585"
"FAR2P3","DVL2","0.537656234226318","1.43958911089705"
"IGKV2-24","DVL2","0.601991868957224","4.69120340943495"
"SLC25A24P1","DVL2","0.38636999066732","0.813091140141681"
"IGKV2D-24","DVL2","0.556909077925359","2.25387760202843"
"ARHGDIG","DVL2","-0.307364427450366","1.29573694646302"
"PEG10","DVL2","0.601180261980175","7.41185418914827"
"IGKV1-39","DVL2","0.556969216779679","2.78502701609043"
"APELA","DVL2","0.602382607645757","2.65987714521792"
"AC021134.1","DVL2","0.24947761555494","0.391652932898113"
"LINC00992","DVL2","0.451834372574032","1.31298304388273"
"LINC00939","DVL2","0.657571160459322","2.66718619411452"
"UGT2B24P","DVL2","0.254016312428615","0.480460374482121"
"PCDHA10","DVL2","0.503189794861471","3.67314661910881"
"IGLV2-5","DVL2","0.606250568691098","2.55122975274174"
"IGLV2-28","DVL2","0.564549510865663","3.29918343657881"
"AC011632.1","DVL2","0.614551217925571","2.70182318142768"
"LINC01152","DVL2","0.628458958279072","5.07211339968928"
"AP000851.1","DVL2","0.604341533695082","4.00688492385264"
"HP","DVL2","-0.295576412875183","1.79199276973671"
"AL121790.1","DVL2","0.572699462305652","2.61925216264638"
"AL133370.1","DVL2","0.595668587044449","3.08341911696571"
"AL121790.2","DVL2","0.570299092777788","1.53279111568579"
"AC013726.1","DVL2","0.646465851028833","3.48197428827418"
"FRRS1L","DVL2","0.636223233273415","3.78041905490239"
"XKR7","DVL2","0.309054060297133","0.450180086294767"
"AC133919.2","DVL2","0.274348334834895","0.902169177699115"
"AL035425.3","DVL2","0.569524685775826","2.05923834519625"
"MSMB","DVL2","0.555266064470561","2.59024600368097"
"PNLIPRP2","DVL2","0.251990270980095","0.319148856204746"
"AC023421.1","DVL2","-0.305150952260089","1.71499137303767"
"LINC01929","DVL2","-0.308806167979076","0.930709446430585"
"AC010329.1","DVL2","0.644834672267793","5.11202175761948"
"LINC01224","DVL2","0.466117812482974","1.14291530083287"
"IGHV3-30","DVL2","0.624136081712122","5.19943641339248"
"TBC1D3L","DVL2","0.33860777504897","1.75838130568693"
"IGHV2-70","DVL2","0.555923672573357","3.38614358223242"
"IGKV1D-13","DVL2","0.463308143845312","2.02367328264709"
"IGHV4-4","DVL2","0.456702434566683","3.36158755359257"
"FP325317.1","DVL2","-0.395693185490463","2.39355833408781"
"AC006329.1","DVL2","0.521623834527285","1.41919551291899"
"MAPT-IT1","DVL2","0.551769903890601","1.67714521379214"
"AL032819.2","DVL2","0.620714192839903","1.89232280398836"
"AC093642.3","DVL2","0.587314124802985","3.04993702703764"
"LINC01488","DVL2","0.458543594717655","1.02396957819369"
"AC093817.2","DVL2","0.623265905188868","2.55740570560098"
"AL591845.1","DVL2","0.650911142716221","5.07669066781774"
"AC011246.1","DVL2","0.483485695382228","1.76148105055713"
"AC106045.1","DVL2","0.566715937872879","2.14241578868676"
"AL450345.2","DVL2","0.566809640524967","2.94861357518223"
"AL078582.2","DVL2","0.491235772770326","2.65370815761793"
"BRCA1","E2F2","0.517031312504424","4.72004460390786"
"IGF1","E2F2","-0.25968700096536","2.36014006903741"
"BAK1","E2F2","0.53229576408129","4.88506627951396"
"WNT8A","E2F2","0.331525745469598","0.434149324509332"
"LRP6","E2F2","0.368770577464555","4.50064376769228"
"NOTCH3","E2F2","0.252231477225437","3.41964510843393"
"WNT8B","E2F2","0.500531083953536","1.50273273018205"
"NFKB2","E2F2","0.589291439228173","6.45486728233085"
"FGF20","E2F2","0.42428472499079","1.21507250289476"
